year,foreigner,taiwan,rateofchange
86,248396,9176000,
87,270620,9289000,8.947003978
88,294967,9385000,8.996748208
89,326515,9491000,10.69543373
90,304605,9383000,-6.710258334
91,303684,9454000,-0.302358793
92,300150,9573000,-1.163709646
93,314034,9786000,4.625687156
94,327396,9942000,4.254953285
95,338755,10111000,3.469498711
96,357937,10294000,5.662499447
97,365060,10403000,1.990015003
98,351016,10279000,-3.847038843
99,379653,10493000,8.15831757
100,425660,10709000,12.11817107
101,445579,10860000,4.679556454
102,489134,10967000,9.774922068
103,551596,11079000,12.76991581
104,587940,11198000,6.588880267
105,624768,11267000,6.26390448
106,676142,11352000,8.222892338
