year,number,industry
97,48877,aothers
98,39990,aothers
99,36675,aothers
100,27264,aothers
101,17712,aothers
102,11547,aothers
103,8941,aothers
104,7524,aothers
105,6604,aothers
106,6120,aothers
97,5049,KKK
98,7482,KKK
99,14665,KKK
100,29228,KKK
101,40017,KKK
102,47235,KKK
103,52592,KKK
104,54556,KKK
105,57463,KKK
106,61388,KKK
97,0,badditional
98,0,badditional
99,0,badditional
100,0,badditional
101,0,badditional
102,6031,badditional
103,12408,badditional
104,15767,badditional
105,17264,badditional
106,22175,badditional
