year,category,number
90,industry,53670
91,industry,54327
92,industry,56079
93,industry,58373
94,industry,57336
95,industry,56272
96,industry,56774
97,industry,53926
98,industry,47472
99,industry,51340
100,industry,56492
101,industry,57729
102,industry,64813
103,industry,73941
104,industry,77847
105,industry,81331
106,industry,89683
90,Socialwelfare,11070
91,Socialwelfare,11573
92,Socialwelfare,11436
93,Socialwelfare,12466
94,Socialwelfare,13829
95,Socialwelfare,14653
96,Socialwelfare,15395
97,Socialwelfare,15482
98,Socialwelfare,15735
99,Socialwelfare,16533
100,Socialwelfare,17392
101,Socialwelfare,17439
102,Socialwelfare,17853
103,Socialwelfare,18614
104,Socialwelfare,18994
105,Socialwelfare,19924
106,Socialwelfare,21073
